Data Source in SDW: null
,MIR.M.AT.B.A2C.P.R.A.2250.EUR.N,MIR.M.BE.B.A2C.P.R.A.2250.EUR.N,MIR.M.CY.B.A2C.P.R.A.2250.EUR.N,MIR.M.DE.B.A2C.P.R.A.2250.EUR.N,MIR.M.EE.B.A2C.P.R.A.2250.EUR.N,MIR.M.ES.B.A2C.P.R.A.2250.EUR.N,MIR.M.FI.B.A2C.P.R.A.2250.EUR.N,MIR.M.FR.B.A2C.P.R.A.2250.EUR.N,MIR.M.GR.B.A2C.P.R.A.2250.EUR.N,MIR.M.IT.B.A2C.P.R.A.2250.EUR.N,MIR.M.LT.B.A2C.P.R.A.2250.EUR.N,MIR.M.LU.B.A2C.P.R.A.2250.EUR.N,MIR.M.LV.B.A2C.P.R.A.2250.EUR.N,MIR.M.MT.B.A2C.P.R.A.2250.EUR.N,MIR.M.NL.B.A2C.P.R.A.2250.EUR.N,MIR.M.PT.B.A2C.P.R.A.2250.EUR.N,MIR.M.SI.B.A2C.P.R.A.2250.EUR.N,MIR.M.SK.B.A2C.P.R.A.2250.EUR.N,MIR.M.U2.B.A2C.P.R.A.2250.EUR.N
2020Jan,1.56,1.69,,1.35,,1.79,1.46,1.19,-,1.45,4.08,1.41,4.82,0.00,2.22,1.96,2.70,1.40,1.40
2019Dec,1.61,1.56,,1.27,1.75,1.75,1.50,1.19,-,1.46,5.10,1.36,4.08,0.00,2.28,1.88,2.70,1.45,1.39
2019Nov,1.59,1.61,,1.25,1.55,1.85,1.45,1.22,-,1.48,4.18,1.31,4.64,-,2.98,1.75,2.71,1.73,1.48
2019Oct,1.62,1.64,,1.22,1.83,1.99,1.31,1.25,-,1.40,6.85,1.36,-,-,2.46,1.75,2.76,1.69,1.39
2019Sep,1.76,1.68,,1.24,1.35,2.18,1.38,1.29,-,1.46,7.22,1.46,-,-,2.58,1.66,2.81,1.55,1.44
2019Aug,1.90,1.74,,1.36,,2.20,1.48,1.33,-,1.82,5.51,1.56,5.40,-,2.63,2.25,2.85,1.36,1.50
2019Jul,1.98,1.78,,1.49,1.89,2.24,1.46,1.37,-,1.84,5.80,1.65,4.58,-,2.68,2.32,2.88,1.46,1.57
2019Jun,2.00,1.79,,1.61,2.72,2.38,1.59,1.42,-,1.94,4.19,1.72,4.53,-,2.75,2.92,2.94,1.94,1.65
2019May,2.07,1.84,,1.67,1.79,2.41,1.75,1.47,-,2.05,5.97,1.80,-,0.00,2.77,3.05,2.96,1.48,1.74
2019Apr,2.10,1.87,,1.72,2.17,2.43,1.77,1.51,-,2.08,5.59,1.79,4.69,0.00,2.82,2.98,2.94,1.63,1.77
2019Mar,2.14,1.91,,1.79,1.48,2.44,1.84,1.53,-,2.02,9.05,1.85,4.71,-,2.87,2.91,2.92,1.55,1.81
2019Feb,2.19,1.95,,1.85,1.86,2.46,1.90,1.54,-,2.14,8.38,1.87,-,-,2.84,3.26,2.93,1.46,1.84
2019Jan,2.25,1.96,,1.95,1.34,2.42,1.84,1.52,-,2.15,7.34,1.95,-,0.00,2.81,2.91,2.92,1.46,1.86
2018Dec,2.23,1.97,,1.94,2.37,2.35,1.91,1.51,-,2.07,4.74,1.93,-,-,2.80,1.85,2.95,1.42,1.84
2018Nov,2.24,1.95,,1.98,1.35,2.32,1.93,1.53,-,2.07,7.21,1.99,-,-,2.83,1.84,2.97,1.49,1.88
2018Oct,2.25,1.94,,1.97,,2.28,1.89,1.53,-,2.04,7.13,1.96,-,-,2.82,1.66,2.90,1.53,1.86
2018Sep,2.26,1.95,,1.94,2.03,2.26,1.86,1.54,-,1.95,8.06,2.01,-,0.00,2.79,1.68,2.96,1.43,1.85
2018Aug,2.26,1.97,,1.97,3.03,2.28,1.97,1.56,-,2.04,7.69,1.98,5.49,-,2.79,1.80,2.96,1.72,1.85
2018Jul,2.30,2.00,,1.95,2.41,2.25,1.91,1.57,-,1.96,6.17,1.95,-,-,2.81,1.71,2.97,1.79,1.85
2018Jun,2.26,2.01,,1.97,2.87,2.26,1.87,1.58,-,1.98,6.63,1.99,-,-,2.86,1.98,2.96,1.37,1.88
2018May,2.30,2.02,,2.00,2.81,2.30,1.79,1.60,-,2.01,6.93,1.98,4.93,-,2.84,1.93,2.98,1.58,1.90
2018Apr,2.32,2.01,,1.96,2.50,2.32,1.86,1.61,-,2.01,6.29,1.99,5.37,-,2.88,2.10,2.91,1.57,1.90
2018Mar,2.29,2.01,,1.98,2.19,2.32,1.79,1.61,-,2.10,6.80,2.01,4.99,-,2.89,1.95,2.92,1.69,1.91
2018Feb,2.29,2.02,,1.92,2.41,2.34,1.81,1.65,-,2.13,6.16,1.96,4.40,-,2.92,1.48,2.95,1.83,1.91
2018Jan,2.17,2.01,,1.92,2.01,2.33,1.92,1.65,-,2.15,4.97,1.87,4.47,-,2.89,1.56,2.89,1.68,1.90
2017Dec,2.19,2.03,,1.86,,2.33,1.89,1.64,-,2.14,6.91,1.90,4.97,-,2.96,1.70,2.91,1.43,1.87
2017Nov,2.20,2.07,,1.94,1.95,2.41,1.77,1.67,-,2.23,3.13,1.86,5.92,-,3.00,1.69,2.94,1.84,1.94
2017Oct,2.15,2.10,,1.96,2.03,2.42,1.60,1.69,-,2.26,2.58,1.84,5.86,-,3.03,1.48,2.91,1.55,1.96
2017Sep,2.12,2.13,,1.96,2.44,2.45,1.77,1.68,-,2.24,6.72,1.92,5.56,-,3.01,1.69,2.91,1.67,1.96
2017Aug,2.24,2.13,,1.98,2.08,2.48,1.88,1.69,-,2.43,3.66,1.91,4.87,-,3.00,1.82,2.85,1.65,1.94
2017Jul,2.24,2.14,,1.92,2.09,2.40,1.95,1.65,-,2.32,4.58,1.93,4.70,-,3.00,1.85,2.80,2.02,1.90
2017Jun,2.20,2.16,,1.89,2.37,2.42,1.86,1.64,-,2.33,4.15,1.89,2.81,-,2.94,2.33,2.70,1.46,1.89
2017May,2.19,2.15,,1.88,2.65,2.41,1.96,1.62,-,2.33,3.73,1.92,5.19,-,2.90,2.75,2.76,1.61,1.87
2017Apr,2.26,2.16,,1.92,2.82,2.43,1.81,1.60,-,2.34,4.20,1.87,5.28,-,2.86,2.87,2.74,1.94,1.85
2017Mar,2.24,2.11,,1.89,2.17,2.41,1.96,1.57,-,2.27,4.33,1.88,5.12,-,2.88,3.37,2.62,1.82,1.81
2017Feb,2.25,2.06,,1.90,,2.33,1.90,1.57,-,2.32,4.28,1.80,5.15,-,2.85,3.08,2.57,1.61,1.81
2017Jan,2.29,2.03,,1.86,2.09,2.20,1.94,1.53,-,2.27,4.25,1.77,5.11,-,2.81,3.14,2.56,1.64,1.76
2016Dec,2.14,1.99,,1.73,2.19,2.20,1.91,1.53,-,2.18,4.02,1.72,5.12,-,2.87,3.17,2.56,1.68,1.75
2016Nov,2.10,1.99,,1.68,2.33,2.20,1.64,1.59,-,2.20,3.85,1.68,4.94,-,2.92,3.06,2.54,1.97,1.79
2016Oct,2.12,2.00,,1.66,3.15,2.18,1.52,1.63,-,2.19,4.43,1.66,6.36,-,2.92,3.43,2.57,2.28,1.81
2016Sep,2.16,2.01,,1.66,3.49,2.33,1.46,1.70,-,2.18,3.26,1.62,5.98,-,2.98,3.35,2.62,2.01,1.85
2016Aug,2.19,2.03,,1.69,4.05,2.41,1.46,1.76,-,2.37,2.98,1.67,4.65,-,3.04,3.72,2.67,2.54,1.88
2016Jul,2.25,2.04,,1.75,4.02,2.38,1.44,1.82,-,2.32,2.95,1.73,4.64,-,3.07,3.53,2.75,2.00,1.95
2016Jun,2.30,2.05,,1.79,,2.39,1.38,1.89,-,2.51,4.03,1.76,5.02,-,3.04,3.51,2.82,2.07,2.01
2016May,2.30,2.08,,1.83,3.31,2.33,1.33,2.01,-,2.58,3.75,1.82,5.92,-,3.07,3.61,2.89,2.00,2.11
2016Apr,2.40,2.16,,1.97,3.00,2.35,1.34,2.14,-,2.63,5.18,1.80,4.77,-,3.09,3.64,2.93,2.33,2.22
2016Mar,2.50,2.27,,1.86,2.47,2.61,1.58,2.23,-,2.65,4.97,1.91,5.15,-,3.08,3.47,3.03,2.52,2.24
2016Feb,2.55,2.40,,1.97,,2.67,1.35,2.31,-,2.75,4.66,1.91,-,-,3.21,3.82,3.15,2.96,2.34
2016Jan,2.54,2.46,,2.05,,2.69,1.88,2.37,-,2.82,2.96,1.91,4.41,-,3.27,3.77,3.04,1.97,2.40
2015Dec,2.70,2.48,,2.01,1.96,2.75,1.50,2.37,-,2.84,4.87,2.00,6.42,-,3.21,3.82,3.16,2.67,2.41
2015Nov,2.48,2.51,,2.09,1.71,2.77,1.59,2.40,-,2.91,4.90,2.10,4.97,-,3.31,3.92,3.14,2.74,2.45
2015Oct,2.48,2.49,,2.14,3.27,2.52,1.57,2.31,-,2.98,4.14,2.09,6.28,-,3.32,3.65,3.27,2.73,2.41
2015Sep,2.67,2.45,,2.12,2.39,2.37,1.62,2.27,-,3.03,3.93,2.08,4.84,-,3.28,3.96,3.27,3.94,2.38
2015Aug,2.44,2.45,,2.15,1.57,2.45,1.72,2.22,-,3.19,3.20,2.11,6.56,-,3.25,4.24,3.43,3.37,2.33
2015Jul,2.43,2.46,,2.10,1.43,2.42,1.57,2.19,-,3.23,4.21,2.15,-,-,3.23,1.84,3.49,3.30,2.36
2015Jun,2.58,2.43,,1.92,1.48,2.64,1.64,2.22,-,3.16,4.78,2.06,5.62,-,3.29,3.57,3.44,4.74,2.31
2015May,2.35,2.46,,1.78,1.63,2.72,1.72,2.30,-,3.04,4.01,1.97,-,-,3.36,3.13,3.65,5.21,2.29
2015Apr,2.46,2.49,,1.95,2.25,3.05,1.80,2.38,-,3.10,4.19,1.95,5.63,-,3.49,4.13,3.70,4.07,2.35
2015Mar,2.43,2.54,,1.88,1.76,3.23,2.10,2.48,-,3.35,5.74,2.04,5.60,-,3.67,2.53,2.90,5.13,2.39
2015Feb,2.62,2.59,,1.99,1.42,3.21,2.01,2.57,-,3.51,4.44,2.07,5.52,-,3.79,4.95,2.98,5.89,2.48
2015Jan,2.79,2.70,,1.83,3.20,3.42,1.97,2.62,-,3.66,3.10,2.14,5.79,-,3.88,2.31,2.93,3.97,2.42
2014Dec,2.94,2.79,,2.19,2.86,4.36,1.96,2.66,-,3.68,2.43,2.26,5.66,-,3.82,4.24,4.16,4.64,2.66
2014Nov,2.97,2.91,,2.28,1.94,4.56,2.00,2.75,-,3.93,4.96,2.24,-,-,3.87,1.95,3.95,3.99,2.72
2014Oct,2.93,2.97,,2.35,1.97,4.30,2.03,2.82,-,3.78,5.94,2.38,6.25,-,3.97,4.26,4.10,5.81,2.78
2014Sep,3.02,3.04,,2.39,2.17,5.19,1.92,2.90,-,4.09,9.38,2.22,-,-,4.03,1.55,4.15,3.74,2.82
2014Aug,3.11,3.12,,2.50,2.06,4.67,2.06,2.95,-,4.36,2.47,2.53,-,-,4.18,5.12,4.24,5.63,2.86
2014Jul,3.37,3.23,,2.61,2.13,4.70,2.17,3.02,-,4.31,3.07,2.48,5.37,-,4.35,5.03,4.04,4.80,2.97
2014Jun,3.23,3.35,,2.73,2.39,4.66,2.17,3.11,-,4.44,-,2.57,-,-,4.51,0.16,4.80,3.41,3.08
2014May,3.18,3.46,,2.79,2.33,4.91,2.20,3.17,-,4.62,-,2.42,5.85,-,4.59,3.28,4.77,3.79,3.12
2014Apr,3.21,3.56,,2.95,2.24,4.78,2.38,3.24,-,4.58,-,2.50,-,-,4.71,4.31,5.94,4.01,3.22
2014Mar,3.52,3.66,,2.90,2.52,5.11,2.30,3.28,-,4.62,2.27,2.47,-,-,4.63,2.49,6.00,3.80,3.22
2014Feb,3.25,3.76,,2.99,2.44,4.98,2.54,3.29,-,4.60,4.71,2.54,5.53,-,4.67,6.59,6.16,3.67,3.26
2014Jan,3.33,3.82,,3.04,2.50,4.29,2.50,3.30,-,4.74,-,2.65,-,-,4.77,6.73,6.16,3.55,3.30
2013Dec,3.44,3.84,,3.02,1.81,4.62,2.56,3.28,-,4.73,-,2.62,5.91,-,4.73,3.47,6.50,3.68,3.31
2013Nov,3.23,3.83,,3.06,2.85,4.95,2.64,3.28,-,4.73,9.65,2.73,5.36,-,4.75,2.02,5.48,3.98,3.30
2013Oct,3.53,3.75,,3.09,2.04,5.18,2.54,3.20,-,4.77,1.81,2.64,5.96,-,4.84,4.90,5.56,4.05,3.26
2013Sep,3.45,3.62,,3.03,2.46,5.66,2.94,3.20,-,4.83,2.94,2.51,5.86,-,4.82,-,4.44,3.89,3.24
2013Aug,3.54,3.56,,2.94,2.13,5.74,2.86,3.19,-,4.80,2.26,2.85,-,-,4.86,6.06,5.62,3.93,3.17
2013Jul,3.74,3.53,,2.82,2.08,5.77,2.98,3.20,-,4.64,2.33,2.56,-,-,4.91,7.35,5.46,4.77,3.16
2013Jun,3.56,3.50,,2.75,2.40,5.77,2.88,3.24,-,4.47,3.48,2.62,5.37,-,4.93,5.54,5.11,3.81,3.15
2013May,3.45,3.55,,2.80,2.24,5.41,2.71,3.30,-,4.38,5.97,2.63,6.00,-,4.92,5.85,4.06,4.23,3.21
2013Apr,3.57,3.60,,3.00,,5.03,2.67,3.35,-,4.46,-,2.57,-,-,4.90,5.22,6.24,4.18,3.31
2013Mar,3.63,3.64,,2.94,2.39,5.86,2.70,3.38,-,4.55,2.26,2.61,-,-,4.95,4.21,3.80,4.29,3.33
2013Feb,3.82,3.68,,2.96,,4.86,2.70,3.43,-,4.66,-,2.60,-,-,5.03,4.32,5.31,5.12,3.34
2013Jan,3.82,3.65,,2.96,,4.81,2.67,3.43,2.90,4.51,3.22,-,-,-,5.04,4.46,4.42,6.53,3.34
2012Dec,3.49,3.69,,2.90,,4.86,2.45,3.52,-,4.64,4.80,2.57,5.93,-,5.02,6.80,5.30,6.48,3.43
2012Nov,3.42,3.70,,2.94,,5.53,2.38,3.57,-,4.85,6.07,2.62,-,-,5.05,5.38,5.09,6.50,3.38
2012Oct,3.47,3.64,,3.00,,5.08,2.33,3.66,-,4.88,2.91,2.53,-,-,5.08,6.17,5.45,6.44,3.46
2012Sep,3.22,3.59,,2.98,,5.70,2.38,3.74,-,4.81,3.96,2.58,-,-,5.06,7.17,5.07,6.32,3.47
2012Aug,3.75,3.59,,3.03,,4.16,2.41,3.80,-,4.95,5.30,2.57,-,-,5.04,7.35,5.15,6.38,3.49
2012Jul,4.26,3.58,,3.05,,4.80,2.46,3.87,4.08,4.86,1.52,2.65,-,-,5.01,3.60,4.97,6.36,3.60
2012Jun,3.95,3.67,,3.12,,3.88,2.36,3.96,4.75,4.63,3.74,2.77,-,-,5.03,7.81,6.29,6.11,3.67
2012May,4.41,3.81,,3.34,,4.77,2.55,4.04,-,5.02,6.30,2.90,-,-,5.08,7.52,5.59,5.85,3.83
2012Apr,4.41,3.85,,3.58,,4.72,2.66,4.09,4.65,5.13,4.61,2.60,5.09,-,5.05,9.36,5.05,5.66,3.93
2012Mar,3.67,3.90,,3.42,,5.19,2.63,4.16,4.30,5.21,8.30,2.60,5.27,-,5.11,7.90,5.68,5.75,3.90
2012Feb,4.16,3.90,,3.49,,4.58,2.61,4.17,-,5.15,-,2.72,-,-,5.11,8.69,5.77,6.43,3.94
2012Jan,4.50,3.87,,3.59,,4.06,2.62,4.12,4.69,5.14,5.09,2.75,-,-,5.09,7.99,6.18,6.50,4.02
2011Dec,4.36,3.69,,3.49,,4.85,2.75,4.07,-,4.99,-,3.06,-,-,5.08,9.31,6.09,5.73,3.94
2011Nov,4.66,3.72,,3.54,,4.86,2.89,4.09,-,4.60,-,3.32,4.73,-,5.11,9.09,6.09,6.44,3.92
2011Oct,4.81,3.79,,3.64,,4.86,2.91,4.07,-,4.44,5.03,3.05,5.13,-,5.06,7.11,6.06,6.42,3.93
2011Sep,5.24,3.93,,3.78,,4.90,2.79,4.10,-,4.64,-,3.02,-,-,5.14,9.11,5.68,5.74,4.02
2011Aug,4.87,4.05,,4.10,,4.74,2.94,4.09,-,4.89,5.42,3.54,-,-,5.18,8.75,6.38,5.05,4.14
2011Jul,4.84,4.13,,4.24,,4.52,3.33,4.05,-,4.78,5.83,3.74,5.34,-,5.21,7.92,5.87,5.12,4.19
2011Jun,5.02,4.12,,4.31,,4.16,3.42,4.01,-,4.82,5.14,3.49,5.51,-,5.21,7.79,6.11,5.26,4.18
2011May,5.44,4.13,,4.40,,4.44,3.66,3.94,-,4.84,3.97,3.68,-,-,5.19,8.96,6.41,4.62,4.17
2011Apr,5.10,4.09,,4.48,,3.65,3.79,3.85,-,4.85,3.56,3.41,2.37,-,5.11,,6.15,5.97,4.15
2011Mar,4.95,3.98,,4.26,,3.07,3.70,3.77,-,4.74,5.33,3.33,-,-,5.02,,6.11,4.93,4.01
2011Feb,5.26,3.92,,4.15,,3.06,3.54,3.67,-,4.37,5.77,3.00,-,-,4.92,,5.27,5.79,3.92
2011Jan,5.17,3.88,,4.05,,2.93,3.35,3.60,-,4.22,6.77,3.25,-,-,4.85,,5.52,5.66,3.84
2010Dec,4.45,3.82,,3.79,,2.87,3.36,3.54,-,4.30,6.97,3.16,-,-,4.86,,5.60,7.15,3.71
2010Nov,4.90,3.83,,3.66,,3.09,3.11,3.58,-,4.20,6.13,3.13,5.36,-,4.86,,5.45,7.49,3.70
2010Oct,4.70,3.86,,3.61,,3.35,2.95,3.60,4.68,4.10,5.87,3.00,6.11,-,4.90,,5.52,7.86,3.70
2010Sep,4.60,3.90,,3.62,,3.84,2.88,3.68,4.82,4.09,7.99,2.93,0.00,-,4.94,,5.07,7.17,3.73
2010Aug,5.06,4.00,,3.80,,3.31,2.80,3.70,4.70,4.49,9.52,2.85,-,-,5.01,,5.42,8.75,3.80
2010Jul,4.81,4.03,,3.77,,3.88,2.94,3.77,4.31,4.39,5.66,2.76,-,-,5.07,,5.27,7.08,3.84
2010Jun,4.63,4.03,,3.88,,3.27,2.97,3.81,4.26,4.41,5.84,2.87,4.39,-,5.12,,5.29,7.67,3.90
2010May,4.68,4.16,,4.10,,3.26,2.96,3.84,4.30,4.61,5.57,3.68,6.32,-,5.18,,4.45,7.25,4.01
2010Apr,4.79,4.24,,4.36,3.78,3.86,2.97,3.88,4.49,4.70,7.77,3.82,6.41,-,5.22,,5.04,7.43,4.12
2010Mar,4.97,4.32,,4.30,,3.83,2.67,3.95,4.70,4.74,6.13,3.57,-,-,5.25,,4.39,7.37,4.15
2010Feb,5.40,4.41,,4.34,,3.95,2.76,3.98,4.48,4.81,5.39,3.08,6.31,-,5.20,,4.32,7.77,4.18
2010Jan,4.19,4.45,,4.49,,4.30,2.59,4.01,4.80,4.93,6.79,3.72,7.04,-,5.20,,4.38,7.65,4.26
2009Dec,5.14,4.43,,4.38,3.71,4.03,2.34,4.04,4.62,4.92,4.87,2.25,6.48,-,5.30,,5.08,10.29,4.26
2009Nov,5.26,4.47,,4.32,4.25,3.84,2.90,4.13,4.71,5.00,7.01,2.59,6.33,-,5.26,,5.09,8.81,4.32
